STATION CODE,LOCATIONS,STATE,TEMP,DO,PH,CONDUCTIVITY,BOD,NITRATE,FECAL,Row_Id
1312,"GODAVARI AT JAYAKWADI DAM, AURNAGABAD,MAHARASHTRA",MAHARASHTRA,29.2,6.4,8.1,735,3.4,2,3,0
2177,GODAVARI RIVER NEAR SOMESHWAR TEMPLE.,MAHARASHTRA,24.5,6,8,270,3.1,2,72,1
2182,GODAVARI RIVER AT SAIKHEDA.,MAHARASHTRA,25.8,5.5,7.8,355,4.2,9,59,2
2179,"GODAVARI RIVER AT HANUMAN GHAT, NASHIK CITY.",MAHARASHTRA,24.8,5.5,7.8,371,5.6,3.55,90,3
2183,GODAVARI RIVER AT NANDUR- MADMESHWAR DAM.,MAHARASHTRA,25.7,5.7,7.9,294,3.2,2.69,45,4
2180,GODAVARI RIVER NEAR TAPOVAN.,MAHARASHTRA,24.8,5.2,7.7,475,10.3,1.9,122,6
1096,"GODAVARI AT PANCHAVATI AT RAMKUND,MAHARASHTRA",MAHARASHTRA,26.3,5.6,7.7,385,3.8,1,110,7
1211,"GODAVARI AT NASIK D/S, MAHARASHTRA",MAHARASHTRA,26.5,5.2,7.8,410,5.2,1.5,77,8
1095,"GODAVARI AT U/S OF GANGAPUR DAM,NASIK,MAHARASHTRA",MAHARASHTRA,26,6.5,7.8,178,2.5,1.99,22,9
2158,GODAVARI RIVER AT U/S OF PAITHAN AT PAITHAN INTAKE PUMP HOUSE AT JAYAKWADI ,MAHARASHTRA,29.5,6.4,8,834,4.7,1.8,2,11
2161,"GODAVARI RIVER AT JALNA INTAKE WATER PUMP HOUSE, SHAHABAD.",MAHARASHTRA,26.7,6.5,8,730,4,2.9,2,13
1209,"GODAVARI AT RAHER, MAHARASHTRA",MAHARASHTRA,29.7,6.4,8,656,3.6,1.8,3,15
2361,"GODAVARI  AT MANCHERIAL, NEAR RLY BDG B/C OF RALLAVAGU",ANDHRA PRADESH,31,6.9,9,526,12,0,130,18
2362,"GODAVARI AT RAMAGUNDAM D/S, NEAR FCI INTAKE WELL, KARIMNAGAR",ANDHRA PRADESH,30,5.7,8.5,575,13,0,240,19
2363,"GODAVARI AT GODAVARIKHANI, NEAR BATHING GHAT, KARIMNAGAR",ANDHRA PRADESH,30.5,3.2,8.8,803,15,0,500,20
2366,"GODAVARI AT KAMALPUR D/S AT M/S. AP RAYONS LTD. DISCHARGE POINT, WARANGAL",ANDHRA PRADESH,29.5,6.6,8.2,421,4,0,280,24
13,"GODAVARI AT MANCHERIAL, A.P.",ANDHRA PRADESH,29.5,4.1,9.1,518,16.5,0,240,25
2370,GODAVARI AT RAJAMUNDRY U/S OF NALLA CHANNEL,ANDHRA PRADESH,26.6,5.8,6.9,290,1.2,2.4,48,29
14,"GODAVARI AT POLAVARAM, A.P.",ANDHRA PRADESH,27,6.2,7.7,380,1.2,1.56,,30
1218,"GODAVARI AT RAJAHMUNDRY U/S, A.P.",ANDHRA PRADESH,26.6,6.1,7.4,480,1.3,1.98,3,31
2371,GODAVARI AT RAJAMUNDRY D/S OF NALLA CHANNEL,ANDHRA PRADESH,26.8,5.9,7,315,1.2,1.29,23,32
1484,"ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG, UTTAR PRADESH",UTTARAKHAND,17.5,8.5,8.1,,0.7,0,,33
